225
0.948683,0.000000,0.316228;2979.366326,1908.953899,1729.909279;75
0.948683,0.000000,0.316228;3426.363355,1887.347355,1642.993736;76
0.948683,0.000000,0.316228;3591.912476,1680.922221,1635.412434;77
0.948683,0.000000,0.316228;3748.821357,1278.185319,1562.895874;78
0.948683,0.316228,0.000000;3030.722811,1854.257145,1647.394126;13
0.948683,0.316228,0.000000;2964.039616,2668.435795,1567.539425;80
0.948683,0.316228,0.000000;3135.889962,2930.363751,1507.217421;81
0.948683,0.316228,0.000000;3410.887074,3237.140644,1341.931136;82
0.948683,0.316228,0.000000;3520.767980,3384.744241,1207.561635;83
1.000000,0.000000,0.000000;1706.123405,370.026632,1717.129363;14
1.000000,0.000000,0.000000;2327.957443,1319.457276,1634.330595;85
1.000000,0.000000,0.000000;2933.082025,1597.251862,1484.104551;86
1.000000,0.000000,0.000000;3387.041299,1757.784794,1292.607130;87
1.000000,0.000000,0.000000;3751.989056,1364.991859,1198.478986;88
0.989949,0.000000,0.141421;3625.937553,3125.276135,1240.243683;84
1.000000,0.000000,0.000000;3833.767471,1054.902879,1468.545483;79
0.784465,0.588348,0.196116;3495.429203,3644.936425,1158.833937;84
0.989949,0.000000,0.141421;3862.511944,1324.325652,1433.382959;79
0.948683,0.000000,0.316228;3111.895316,2399.953119,1793.960124;69
0.426401,0.639602,0.639602;2632.013858,5106.758678,1449.715177;59
0.948683,0.316228,0.000000;3531.886127,3478.057103,1115.969416;84
0.639602,0.426401,0.639602;3433.527859,2578.752824,1631.225376;77
0.000000,0.857493,0.514496;2710.446847,3996.428609,1692.391223;34
0.948683,0.316228,0.000000;3620.977531,2040.627616,1175.131481;89
0.588348,0.196116,0.784465;3140.390406,3331.884644,1742.719482;54
0.426401,0.639602,0.639602;502.381362,222.810522,2496.353482;65
0.857493,0.514496,0.000000;3325.456520,2625.938194,1578.752773;76
0.639602,0.639602,0.426401;3662.428364,2656.193282,1553.267735;78
0.588348,0.196116,0.784465;3733.138522,1923.551976,1626.113176;79
0.948683,0.316228,0.000000;3743.011545,2822.702017,1491.505522;103
0.514496,0.857493,0.000000;3471.392171,3946.797923,1196.982271;92
0.182574,0.912871,0.365148;2432.184447,5231.585637,1481.247551;95
0.989949,0.141421,0.000000;3956.454652,1600.625037,1341.691382;93
0.000000,0.707107,0.707107;2428.714164,3348.177114,1910.822090;52
0.000000,0.857493,0.514496;2773.983467,4032.937868,1694.302657;98
0.857493,0.514496,0.000000;3734.205061,2918.612495,1458.543876;103
